epoch;acc;loss
0;0.76324;0.5021194039058685
1;0.85156;0.35168151138305664
2;0.86908;0.3228428444480896
0;0.7388;0.5131911964416503
1;0.85488;0.35129828659534457
2;0.86884;0.32079009797096253
0;0.76668;0.49612325436592103
1;0.85384;0.3514228932189941
2;0.872;0.31644427015304566
0;0.76308;0.502183778142929
1;0.85692;0.34783247501373293
2;0.86868;0.3241634754943848
0;0.76388;0.48792710822105406
1;0.85992;0.3423829976844788
2;0.87056;0.31485618005752564
0;0.75572;0.5016230319023133
1;0.85308;0.3507081369495392
2;0.8716;0.31816359983444215
0;0.75536;0.5032613723945618
1;0.85384;0.34827934496879576
2;0.86944;0.318674818649292
0;0.75888;0.4935481845664978
1;0.85528;0.35108591222763064
2;0.86852;0.31980554137706757
0;0.75452;0.4945502932739258
1;0.85748;0.34345275020599364
2;0.8674;0.3207208424758911
0;0.7484;0.5078780064058304
1;0.85616;0.3464823431968689
2;0.87004;0.31752588008880617
0;0.7468;0.5072627733135223
1;0.85764;0.34655971815109254
2;0.87172;0.32037712682724
0;0.75904;0.5081036688327789
1;0.85072;0.35548429200172427
2;0.8688;0.32323377950668336
0;0.76448;0.4900500875091553
1;0.86576;0.33108068349838254
2;0.88344;0.2946181644153595
0;0.7598;0.5084143487453461
1;0.85588;0.34779214721679685
2;0.8724;0.3144308818626404
0;0.75988;0.49350989790916444
1;0.85476;0.35019995018959044
2;0.86664;0.32723696303367616
0;0.76616;0.4943300025844574
1;0.85424;0.35062291304588317
2;0.86864;0.3200253797149658
